"","id","trial","treatment","conf.HA","conf.SA","sel.adv","conf.sel.adv","conf.unsel.adv","confirm.oppose","won","HA.correct","SA.correct","changed","dominant.balls"
"1",16,1,3,4,5,0,4,5,0,1,1,1,0,90
"2",16,2,3,3,4,0,3,4,0,1,1,1,1,90
"3",16,3,3,2,2,1,2,2,0,0,0,0,1,70
"4",16,4,3,3,2,0,3,2,0,1,1,1,0,70
"5",16,5,3,3,-3,0,3,-3,1,1,1,0,0,70
"6",16,6,3,2,2,0,2,2,0,1,1,1,0,70
"7",16,7,3,2,3,0,2,3,0,1,1,1,0,70
"8",16,8,3,2,2,0,2,2,0,1,1,1,0,70
"9",16,9,3,5,4,0,5,4,0,1,1,1,0,90
"10",16,10,3,2,-2,0,2,-2,1,0,0,1,0,70
"11",16,11,3,2,1,0,2,1,0,1,1,1,0,70
"12",16,12,3,2,1,0,2,1,0,0,0,0,0,70
"13",16,13,3,2,1,0,2,1,0,1,1,1,0,70
"14",16,14,3,2,-3,0,2,-3,1,1,1,0,0,70
"15",16,15,3,1,-3,0,1,-3,1,1,1,0,0,70
"16",16,16,3,4,4,0,4,4,0,1,1,1,0,90
"17",16,17,3,3,-3,0,3,-3,1,0,0,1,0,70
"18",16,18,3,2,-4,0,2,-4,1,0,0,1,0,70
"19",16,19,3,2,-3,0,2,-3,1,1,1,0,0,70
"20",16,20,3,1,1,0,1,1,0,0,0,0,NA,70
"21",17,1,4,4,5,0,4,5,0,1,1,1,0,90
"22",17,2,4,2,3,0,2,3,0,0,0,0,1,80
"23",17,3,4,4,4,1,4,4,0,1,1,1,0,90
"24",17,4,4,2,4,1,4,2,0,1,1,1,0,80
"25",17,5,4,4,2,1,2,4,0,0,0,0,0,80
"26",17,6,4,4,4,1,4,4,0,0,0,0,1,90
"27",17,7,4,2,3,0,2,3,0,1,1,1,0,80
"28",17,8,4,3,3,0,3,3,0,1,1,1,0,80
"29",17,9,4,3,3,0,3,3,0,1,1,1,0,80
"30",17,10,4,3,4,0,3,4,0,0,0,0,0,80
"31",17,11,4,3,3,0,3,3,0,1,1,1,0,80
"32",17,12,4,4,4,0,4,4,0,0,0,0,0,80
"33",17,13,4,2,3,0,2,3,0,1,1,1,0,80
"34",17,14,4,3,2,0,3,2,0,1,1,1,0,80
"35",17,15,4,4,4,0,4,4,0,1,1,1,0,90
"36",17,16,4,2,3,0,2,3,0,1,1,1,0,80
"37",17,17,4,3,4,0,3,4,0,1,1,1,0,80
"38",17,18,4,3,3,0,3,3,0,1,1,1,0,80
"39",17,19,4,3,2,0,3,2,0,1,1,1,0,80
"40",17,20,4,3,2,0,3,2,0,1,1,1,NA,80
"41",18,1,4,3,2,1,2,3,0,1,1,1,1,80
"42",18,2,4,3,2,0,3,2,0,1,1,1,1,80
"43",18,3,4,3,2,1,2,3,0,0,0,0,1,80
"44",18,4,4,4,4,0,4,4,0,0,0,0,0,80
"45",18,5,4,3,2,0,3,2,0,0,0,0,0,80
"46",18,6,4,3,3,0,3,3,0,1,1,1,0,80
"47",18,7,4,3,5,0,3,5,0,1,1,1,0,90
"48",18,8,4,4,4,0,4,4,0,1,1,1,0,80
"49",18,9,4,4,2,0,4,2,0,1,1,1,0,80
"50",18,10,4,4,3,0,4,3,0,0,0,0,1,80
"51",18,11,4,5,4,1,4,5,0,0,0,0,1,90
"52",18,12,4,3,3,0,3,3,0,1,1,1,1,80
"53",18,13,4,2,2,1,2,2,0,1,1,1,1,80
"54",18,14,4,3,2,0,3,2,0,1,1,1,1,80
"55",18,15,4,4,3,1,3,4,0,1,1,1,1,90
"56",18,16,4,2,3,0,2,3,0,1,1,1,0,80
"57",18,17,4,3,3,0,3,3,0,1,1,1,0,80
"58",18,18,4,4,3,0,4,3,0,1,1,1,1,90
"59",18,19,4,3,3,1,3,3,0,0,0,0,1,80
"60",18,20,4,4,4,0,4,4,0,1,1,1,NA,80
"61",19,1,3,2,2,0,2,2,0,0,0,0,0,70
"62",19,2,3,1,3,0,1,3,0,0,0,0,0,70
"63",19,3,3,2,-4,0,2,-4,1,1,1,0,0,70
"64",19,4,3,2,2,0,2,2,0,1,1,1,0,70
"65",19,5,3,3,-3,0,3,-3,1,1,1,0,0,70
"66",19,6,3,2,-2,0,2,-2,1,1,1,0,0,70
"67",19,7,3,3,4,0,3,4,0,1,1,1,0,90
"68",19,8,3,3,4,0,3,4,0,1,1,1,0,90
"69",19,9,3,2,3,0,2,3,0,1,1,1,0,70
"70",19,10,3,2,-3,0,2,-3,1,1,1,0,0,70
"71",19,11,3,4,4,0,4,4,0,1,1,1,0,90
"72",19,12,3,2,2,0,2,2,0,1,1,1,0,70
"73",19,13,3,1,-2,0,1,-2,1,0,0,1,0,70
"74",19,14,3,2,2,0,2,2,0,1,1,1,0,70
"75",19,15,3,2,-3,0,2,-3,1,0,0,1,1,70
"76",19,16,3,2,2,1,2,2,0,1,1,1,0,70
"77",19,17,3,2,2,1,2,2,0,0,0,0,0,70
"78",19,18,3,4,4,1,4,4,0,0,0,0,0,90
"79",19,19,3,3,2,1,2,3,0,1,1,1,0,70
"80",19,20,3,3,3,1,3,3,0,1,1,1,NA,70
"81",20,1,3,2,1,1,1,2,0,1,1,1,1,70
"82",20,2,3,4,4,0,4,4,0,1,1,1,1,90
"83",20,3,3,2,2,1,2,2,0,0,0,0,1,70
"84",20,4,3,4,4,0,4,4,0,1,1,1,1,90
"85",20,5,3,1,1,1,1,1,0,0,0,0,1,70
"86",20,6,3,1,3,0,1,3,0,1,1,1,0,70
"87",20,7,3,2,-2,0,2,-2,1,0,0,1,1,70
"88",20,8,3,2,2,1,2,2,0,1,1,1,1,70
"89",20,9,3,2,-3,0,2,-3,1,0,0,1,0,70
"90",20,10,3,3,2,0,3,2,0,0,0,0,1,70
"91",20,11,3,1,3,1,3,1,0,0,0,0,1,70
"92",20,12,3,2,-4,0,2,-4,1,0,0,1,0,70
"93",20,13,3,2,-2,0,2,-2,1,1,1,0,1,70
