"","id","trial","treatment","conf.HA","conf.SA","sel.adv","conf.sel.adv","conf.unsel.adv","confirm.oppose","won","HA.correct","SA.correct","changed","dominant.balls"
"1",1560882337,1,1,1,1,1,1,1,0,1,1,1,1,50
"2",1560882337,2,1,2,-3,0,2,-3,1,0,0,1,0,50
"3",1560882337,3,1,1,-2,0,1,-2,1,1,1,0,1,50
"4",1560882337,4,1,1,1,1,1,1,0,0,0,0,1,50
"5",1560882337,5,1,1,-3,0,1,-3,1,0,0,1,1,50
"6",1560882337,6,1,1,1,1,1,1,0,1,1,1,1,50
"7",1560882337,7,1,4,4,0,4,4,0,0,0,0,0,90
"8",1560882337,8,1,5,5,0,5,5,0,1,1,1,1,90
"9",1560882337,9,1,1,1,1,1,1,0,0,0,0,0,50
"10",1560882337,10,1,1,1,1,1,1,0,1,1,1,1,50
"11",1560882337,11,1,2,-2,0,2,-2,1,1,1,0,1,50
"12",1560882337,12,1,1,2,1,2,1,0,0,0,0,1,50
"13",1560882337,13,1,4,5,0,4,5,0,1,1,1,1,90
"14",1560882337,14,1,1,1,1,1,1,0,1,1,1,0,50
"15",1560882337,15,1,5,3,1,3,5,0,1,1,1,1,90
"16",1560882337,16,1,1,-4,0,1,-4,1,0,0,1,0,50
"17",1560882337,17,1,2,-2,0,2,-2,1,0,0,1,1,50
"18",1560882337,18,1,1,1,1,1,1,0,0,0,0,0,50
"19",1560882337,19,1,2,2,1,2,2,0,1,1,1,1,50
"20",1560882337,20,1,2,-3,0,2,-3,1,1,1,0,NA,50
"21",1600620874,1,1,1,-3,0,1,-3,1,1,1,0,1,50
"22",1600620874,2,1,1,1,1,1,1,0,1,1,1,0,50
"23",1600620874,3,1,2,2,1,2,2,0,1,1,1,1,50
"24",1600620874,4,1,1,-3,0,1,-3,1,0,0,1,1,50
"25",1600620874,5,1,2,1,1,1,2,0,1,1,1,1,50
"26",1600620874,6,1,4,4,0,4,4,0,1,1,1,0,90
"27",1600620874,7,1,4,4,0,4,4,0,1,1,1,1,90
"28",1600620874,8,1,1,1,1,1,1,0,0,0,0,1,50
"29",1600620874,9,1,1,-2,0,1,-2,1,1,1,0,0,50
"30",1600620874,10,1,1,-3,0,1,-3,1,1,1,0,0,50
"31",1600620874,11,1,2,-3,0,2,-3,1,0,0,1,0,50
"32",1600620874,12,1,2,-4,0,2,-4,1,1,1,0,0,50
"33",1600620874,13,1,4,5,0,4,5,0,1,1,1,1,90
"34",1600620874,14,1,1,2,1,2,1,0,1,1,1,1,50
"35",1600620874,15,1,1,-3,0,1,-3,1,1,1,0,0,50
"36",1600620874,16,1,1,-3,0,1,-3,1,1,1,0,1,50
"37",1600620874,17,1,2,2,1,2,2,0,1,1,1,0,50
"38",1600620874,18,1,1,1,1,1,1,0,1,1,1,1,50
"39",1600620874,19,1,4,3,0,4,3,0,1,1,1,0,90
"40",1600620874,20,1,2,-2,0,2,-2,1,0,0,1,NA,50
"41",1690915364,1,1,1,1,1,1,1,0,0,0,0,1,50
"42",1690915364,2,1,1,-2,0,1,-2,1,0,0,1,1,50
"43",1690915364,3,1,2,2,1,2,2,0,1,1,1,1,50
"44",1690915364,4,1,2,-4,0,2,-4,1,0,0,1,1,50
"45",1690915364,5,1,1,1,1,1,1,0,0,0,0,1,50
"46",1690915364,6,1,4,4,0,4,4,0,1,1,1,0,90
"47",1690915364,7,1,5,4,0,5,4,0,1,1,1,0,90
"48",1690915364,8,1,4,5,0,4,5,0,1,1,1,0,90
"49",1690915364,9,1,1,-3,0,1,-3,1,0,0,1,0,50
"50",1690915364,10,1,1,-3,0,1,-3,1,0,0,1,0,50
"51",1690915364,11,1,1,-2,0,1,-2,1,0,0,1,0,50
"52",1690915364,12,1,5,4,0,5,4,0,1,1,1,0,90
"53",1690915364,13,1,1,-3,0,1,-3,1,1,1,0,0,50
"54",1690915364,14,1,2,-3,0,2,-3,1,1,1,0,0,50
"55",1690915364,15,1,2,-3,0,2,-3,1,0,0,1,0,50
"56",1690915364,16,1,1,-2,0,1,-2,1,1,1,0,0,50
"57",1690915364,17,1,1,-3,0,1,-3,1,1,1,0,0,50
"58",1690915364,18,1,1,-4,0,1,-4,1,1,1,0,0,50
"59",1690915364,19,1,1,-3,0,1,-3,1,1,1,0,0,50
"60",1690915364,20,1,1,-3,0,1,-3,1,0,0,1,NA,50
"61",2000105288,1,1,2,1,1,1,2,0,0,0,0,0,50
"62",2000105288,2,1,1,1,1,1,1,0,1,1,1,0,50
"63",2000105288,3,1,1,1,1,1,1,0,1,1,1,0,50
"64",2000105288,4,1,2,2,1,2,2,0,1,1,1,0,50
"65",2000105288,5,1,4,5,1,5,4,0,1,1,1,0,90
"66",2000105288,6,1,4,4,1,4,4,0,1,1,1,0,90
"67",2000105288,7,1,2,1,1,1,2,0,1,1,1,0,50
"68",2000105288,8,1,2,1,1,1,2,0,1,1,1,0,50
"69",2000105288,9,1,1,1,1,1,1,0,1,1,1,0,50
"70",2000105288,10,1,1,1,1,1,1,0,0,0,0,0,50
"71",2000105288,11,1,1,1,1,1,1,0,1,1,1,0,50
"72",2000105288,12,1,1,1,1,1,1,0,0,0,0,0,50
"73",2000105288,13,1,1,1,1,1,1,0,0,0,0,0,50
"74",2000105288,14,1,1,1,1,1,1,0,0,0,0,0,50
"75",2000105288,15,1,2,1,1,1,2,0,0,0,0,0,50
"76",2000105288,16,1,1,1,1,1,1,0,0,0,0,0,50
"77",2000105288,17,1,4,4,1,4,4,0,1,1,1,0,90
"78",2000105288,18,1,1,1,1,1,1,0,0,0,0,0,50
"79",2000105288,19,1,1,1,1,1,1,0,1,1,1,0,50
"80",2000105288,20,1,4,4,1,4,4,0,0,0,0,NA,90
"81",2087637631,1,1,1,1,1,1,1,0,0,0,0,1,50
"82",2087637631,2,1,4,4,0,4,4,0,1,1,1,0,90
"83",2087637631,3,1,2,-4,0,2,-4,1,1,1,0,0,50
"84",2087637631,4,1,1,-3,0,1,-3,1,1,1,0,0,50
"85",2087637631,5,1,4,3,0,4,3,0,1,1,1,0,90
"86",2087637631,6,1,3,4,0,3,4,0,1,1,1,0,90
"87",2087637631,7,1,1,-4,0,1,-4,1,0,0,1,0,50
"88",2087637631,8,1,2,-4,0,2,-4,1,0,0,1,0,50
"89",2087637631,9,1,1,-4,0,1,-4,1,0,0,1,1,50
"90",2087637631,10,1,1,1,1,1,1,0,0,0,0,1,50
"91",2087637631,11,1,1,-3,0,1,-3,1,1,1,0,0,50
"92",2087637631,12,1,1,-3,0,1,-3,1,1,1,0,0,50
"93",2087637631,13,1,1,-3,0,1,-3,1,0,0,1,0,50
"94",2087637631,14,1,1,-4,0,1,-4,1,0,0,1,0,50
"95",2087637631,15,1,1,-2,0,1,-2,1,0,0,1,0,50
"96",2087637631,16,1,1,-3,0,1,-3,1,1,1,0,0,50
"97",2087637631,17,1,4,3,0,4,3,0,1,1,1,0,90
"98",2087637631,18,1,2,-2,0,2,-2,1,1,1,0,0,50
"99",2087637631,19,1,1,-4,0,1,-4,1,0,0,1,0,50
"100",2087637631,20,1,1,-3,0,1,-3,1,0,0,1,NA,50
"101",2636248915,1,1,1,-4,0,1,-4,1,0,0,1,1,50
"102",2636248915,2,1,1,2,1,2,1,0,0,0,0,0,50
"103",2636248915,3,1,1,1,1,1,1,0,1,1,1,1,50
"104",2636248915,4,1,1,-4,0,1,-4,1,0,0,1,1,50
"105",2636248915,5,1,3,5,1,5,3,0,0,0,0,0,90
"106",2636248915,6,1,1,2,1,2,1,0,0,0,0,0,50
"107",2636248915,7,1,4,4,1,4,4,0,1,1,1,0,90
"108",2636248915,8,1,1,2,1,2,1,0,1,1,1,0,50
"109",2636248915,9,1,1,1,1,1,1,0,0,0,0,0,50
"110",2636248915,10,1,1,1,1,1,1,0,0,0,0,0,50
