"","id","trial","treatment","conf.HA","conf.SA","sel.adv","conf.sel.adv","conf.unsel.adv","confirm.oppose","won","HA.correct","SA.correct","changed","dominant.balls"
"1",2,1,1,1,1,1,1,1,0,0,0,0,1,50
"2",2,2,1,2,-2,0,2,-2,1,0,0,1,0,50
"3",2,3,1,1,-2,0,1,-2,1,1,1,0,1,50
"4",2,4,1,5,5,1,5,5,0,1,1,1,0,90
"5",2,5,1,5,5,1,5,5,0,1,1,1,0,90
"6",2,6,1,2,2,1,2,2,0,0,0,0,1,50
"7",2,7,1,1,-3,0,1,-3,1,0,0,1,0,50
"8",2,8,1,1,-2,0,1,-2,1,0,0,1,0,50
"9",2,9,1,1,-2,0,1,-2,1,1,1,0,0,50
"10",2,10,1,1,-3,0,1,-3,1,0,0,1,1,50
"11",2,11,1,1,1,1,1,1,0,0,0,0,0,50
"12",2,12,1,4,5,1,5,4,0,1,1,1,0,90
"13",2,13,1,5,4,1,4,5,0,0,0,0,0,90
"14",2,14,1,1,2,1,2,1,0,1,1,1,0,50
"15",2,15,1,2,2,1,2,2,0,0,0,0,0,50
"16",2,16,1,5,4,1,4,5,0,1,1,1,0,90
"17",2,17,1,1,1,1,1,1,0,1,1,1,0,50
"18",2,18,1,1,1,1,1,1,0,1,1,1,0,50
"19",2,19,1,1,1,1,1,1,0,0,0,0,0,50
"20",2,20,1,2,1,1,1,2,0,0,0,0,NA,50
"21",8,1,1,4,5,1,5,4,0,1,1,1,0,90
"22",8,2,1,1,1,1,1,1,0,0,0,0,0,50
"23",8,3,1,1,2,1,2,1,0,0,0,0,1,50
"24",8,4,1,1,-3,0,1,-3,1,1,1,0,0,50
"25",8,5,1,1,-4,0,1,-4,1,0,0,1,0,50
"26",8,6,1,2,-2,0,2,-2,1,1,1,0,0,50
"27",8,7,1,1,-3,0,1,-3,1,0,0,1,1,50
"28",8,8,1,4,4,1,4,4,0,1,1,1,0,90
"29",8,9,1,1,2,1,2,1,0,0,0,0,0,50
"30",8,10,1,4,5,1,5,4,0,1,1,1,0,90
"31",8,11,1,5,3,1,3,5,0,1,1,1,0,90
"32",8,12,1,1,2,1,2,1,0,1,1,1,0,50
"33",8,13,1,1,1,1,1,1,0,1,1,1,0,50
"34",8,14,1,1,1,1,1,1,0,0,0,0,0,50
"35",8,15,1,1,1,1,1,1,0,1,1,1,0,50
"36",8,16,1,1,1,1,1,1,0,0,0,0,0,50
"37",8,17,1,1,1,1,1,1,0,0,0,0,0,50
"38",8,18,1,1,1,1,1,1,0,0,0,0,0,50
"39",8,19,1,3,4,1,4,3,0,1,1,1,0,90
"40",8,20,1,1,1,1,1,1,0,0,0,0,NA,50
"41",12,1,1,5,5,1,5,5,0,1,1,1,0,90
"42",12,2,1,1,1,1,1,1,0,0,0,0,0,50
"43",12,3,1,4,5,1,5,4,0,1,1,1,0,90
"44",12,4,1,1,1,1,1,1,0,1,1,1,0,50
"45",12,5,1,5,5,1,5,5,0,1,1,1,0,90
"46",12,6,1,1,2,1,2,1,0,1,1,1,0,50
"47",12,7,1,1,1,1,1,1,0,1,1,1,0,50
"48",12,8,1,2,2,1,2,2,0,0,0,0,0,50
"49",12,9,1,1,2,1,2,1,0,0,0,0,1,50
"50",12,10,1,1,-2,0,1,-2,1,0,0,1,1,50
"51",12,11,1,1,1,1,1,1,0,1,1,1,0,50
"52",12,12,1,1,1,1,1,1,0,0,0,0,0,50
"53",12,13,1,1,1,1,1,1,0,0,0,0,0,50
"54",12,14,1,3,5,1,5,3,0,1,1,1,0,90
"55",12,15,1,5,4,1,4,5,0,1,1,1,0,90
"56",12,16,1,1,1,1,1,1,0,1,1,1,0,50
"57",12,17,1,1,2,1,2,1,0,0,0,0,0,50
"58",12,18,1,1,2,1,2,1,0,0,0,0,1,50
"59",12,19,1,2,-2,0,2,-2,1,0,0,1,1,50
"60",12,20,1,1,2,1,2,1,0,1,1,1,NA,50
"61",15,1,1,1,-4,0,1,-4,1,0,0,1,1,50
"62",15,2,1,1,1,1,1,1,0,0,0,0,0,50
"63",15,3,1,4,5,1,5,4,0,1,1,1,0,90
"64",15,4,1,1,1,1,1,1,0,1,1,1,0,50
"65",15,5,1,1,1,1,1,1,0,0,0,0,1,50
