,id,group.id,treatment,trial,conf.HA,conf.SA,sel.adv,sel.adv.gr,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,dominant.balls,total.players,majmin
88,2,302,Individuals in voting groups,20,1,1,1,1,1,1,0,0,0,0,NA,50,NA,majority
89,28,302,Individuals in voting groups,1,2,2,0,1,2,2,0,1,0,0,1,50,NA,minority
90,28,302,Individuals in voting groups,2,1,2,1,1,2,1,0,0,0,0,1,50,NA,majority
91,28,302,Individuals in voting groups,3,1,1,0,1,1,1,0,1,0,0,1,50,NA,minority
92,28,302,Individuals in voting groups,4,1,1,1,1,1,1,0,1,0,0,1,50,NA,majority
93,28,302,Individuals in voting groups,5,5,4,0,0,5,4,0,1,0,0,0,90,NA,majority
94,28,302,Individuals in voting groups,6,5,4,0,0,5,4,0,1,0,0,1,90,NA,majority
95,28,302,Individuals in voting groups,7,4,5,1,0,4,5,0,0,0,0,0,90,NA,minority
96,28,302,Individuals in voting groups,8,4,4,1,1,4,4,0,1,0,0,1,90,NA,majority
97,28,302,Individuals in voting groups,9,5,5,0,1,5,5,0,1,0,0,0,90,NA,minority
98,28,302,Individuals in voting groups,10,1,2,0,1,2,1,0,0,0,0,1,50,NA,minority
99,28,302,Individuals in voting groups,11,1,-4,1,0,1,-4,1,0,0,0,1,50,NA,minority
100,28,302,Individuals in voting groups,12,1,1,0,1,1,1,0,0,0,0,1,50,NA,minority
101,28,302,Individuals in voting groups,13,2,2,1,1,2,2,0,1,0,0,1,50,NA,majority
102,28,302,Individuals in voting groups,14,1,2,0,1,2,1,0,0,0,0,1,50,NA,minority
103,28,302,Individuals in voting groups,15,1,1,1,1,1,1,0,0,0,0,1,50,NA,majority
104,28,302,Individuals in voting groups,16,2,-2,0,0,2,-2,1,0,0,0,0,50,NA,majority
105,28,302,Individuals in voting groups,17,1,1,0,1,1,1,0,1,0,0,1,50,NA,minority
106,28,302,Individuals in voting groups,18,1,2,1,1,2,1,0,1,0,0,1,50,NA,majority
107,28,302,Individuals in voting groups,19,2,1,0,1,1,2,0,0,0,0,1,50,NA,minority
108,28,302,Individuals in voting groups,20,1,1,1,1,1,1,0,0,0,0,NA,50,NA,majority
109,56,302,Individuals in voting groups,1,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
110,56,302,Individuals in voting groups,2,2,1,1,1,1,2,0,0,0,0,0,50,NA,majority
111,56,302,Individuals in voting groups,3,1,1,1,1,1,1,0,1,0,0,1,50,NA,majority
112,56,302,Individuals in voting groups,4,1,1,0,1,1,1,0,1,0,0,0,50,NA,minority
113,56,302,Individuals in voting groups,5,5,5,0,0,5,5,0,1,0,0,0,90,NA,majority
114,56,302,Individuals in voting groups,6,3,5,0,0,3,5,0,1,0,0,0,90,NA,majority
115,56,302,Individuals in voting groups,7,4,3,0,0,4,3,0,0,0,0,0,90,NA,majority
116,56,302,Individuals in voting groups,8,5,5,0,1,5,5,0,1,0,0,0,90,NA,minority
117,56,302,Individuals in voting groups,9,4,4,0,1,4,4,0,1,0,0,0,90,NA,minority
118,56,302,Individuals in voting groups,10,1,2,0,1,2,1,0,0,0,0,0,50,NA,minority
119,56,302,Individuals in voting groups,11,1,-3,0,0,1,-3,1,0,0,0,1,50,NA,majority
120,56,302,Individuals in voting groups,12,2,1,1,1,1,2,0,0,0,0,0,50,NA,majority
121,56,302,Individuals in voting groups,13,1,2,1,1,2,1,0,1,0,0,0,50,NA,majority
122,56,302,Individuals in voting groups,14,1,2,1,1,2,1,0,0,0,0,0,50,NA,majority
123,56,302,Individuals in voting groups,15,2,1,1,1,1,2,0,0,0,0,0,50,NA,majority
124,56,302,Individuals in voting groups,16,2,-3,1,0,2,-3,1,0,0,0,0,50,NA,minority
125,56,302,Individuals in voting groups,17,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
126,56,302,Individuals in voting groups,18,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
127,56,302,Individuals in voting groups,19,1,2,1,1,2,1,0,0,0,0,0,50,NA,majority
128,56,302,Individuals in voting groups,20,1,1,1,1,1,1,0,0,0,0,NA,50,NA,majority
129,84,302,Individuals in voting groups,1,5,5,1,1,5,5,0,NA,NA,NA,NA,NA,NA,majority
130,112,302,Individuals in voting groups,1,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
131,112,302,Individuals in voting groups,2,1,2,1,1,2,1,0,0,0,0,1,50,NA,majority
132,112,302,Individuals in voting groups,3,1,1,0,1,1,1,0,1,0,0,1,50,NA,minority
133,112,302,Individuals in voting groups,4,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
134,112,302,Individuals in voting groups,5,3,3,1,0,3,3,0,1,0,0,1,90,NA,minority
135,112,302,Individuals in voting groups,6,3,3,0,0,3,3,0,1,0,0,0,90,NA,majority
136,112,302,Individuals in voting groups,7,4,5,0,0,4,5,0,0,0,0,1,90,NA,majority
137,112,302,Individuals in voting groups,8,3,3,1,1,3,3,0,1,0,0,0,90,NA,majority
138,112,302,Individuals in voting groups,9,4,4,1,1,4,4,0,1,0,0,0,90,NA,majority
139,112,302,Individuals in voting groups,10,1,1,1,1,1,1,0,0,0,0,1,50,NA,majority
140,112,302,Individuals in voting groups,11,1,-3,0,0,1,-3,1,0,0,0,1,50,NA,majority
141,112,302,Individuals in voting groups,12,1,2,1,1,2,1,0,0,0,0,1,50,NA,majority
142,112,302,Individuals in voting groups,13,1,1,0,1,1,1,0,1,0,0,1,50,NA,minority
143,112,302,Individuals in voting groups,14,1,2,1,1,2,1,0,0,0,0,1,50,NA,majority
144,112,302,Individuals in voting groups,15,2,1,0,1,1,2,0,0,0,0,0,50,NA,minority
145,112,302,Individuals in voting groups,16,1,-3,0,0,1,-3,1,0,0,0,1,50,NA,majority
146,112,302,Individuals in voting groups,17,1,2,1,1,2,1,0,1,0,0,0,50,NA,majority
147,112,302,Individuals in voting groups,18,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
148,112,302,Individuals in voting groups,19,2,2,1,1,2,2,0,0,0,0,1,50,NA,majority
149,112,302,Individuals in voting groups,20,2,2,0,1,2,2,0,0,0,0,NA,50,NA,minority
150,141,302,Individuals in voting groups,1,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
