"","id","trial","treatment","conf.HA","conf.SA","sel.adv","conf.sel.adv","conf.unsel.adv","confirm.oppose","won","HA.correct","SA.correct","changed","dominant.balls"
"1",1495999058,1,1,1,1,1,1,1,0,1,1,1,0,50
"2",1495999058,2,1,1,2,1,2,1,0,0,0,0,1,50
"3",1495999058,3,1,1,-3,0,1,-3,1,0,0,1,1,50
"4",1495999058,4,1,1,1,1,1,1,0,0,0,0,0,50
"5",1495999058,5,1,1,1,1,1,1,0,1,1,1,0,50
"6",1495999058,6,1,2,2,1,2,2,0,0,0,0,0,50
"7",1495999058,7,1,2,1,1,1,2,0,1,1,1,0,50
"8",1495999058,8,1,1,1,1,1,1,0,0,0,0,0,50
"9",1495999058,9,1,2,1,1,1,2,0,1,1,1,0,50
"10",1495999058,10,1,2,1,1,1,2,0,0,0,0,0,50
"11",1495999058,11,1,1,1,1,1,1,0,0,0,0,0,50
"12",1495999058,12,1,1,1,1,1,1,0,0,0,0,0,50
"13",1495999058,13,1,3,3,1,3,3,0,1,1,1,0,90
"14",1495999058,14,1,4,4,1,4,4,0,1,1,1,0,90
"15",1495999058,15,1,1,1,1,1,1,0,1,1,1,0,50
"16",1495999058,16,1,4,4,1,4,4,0,1,1,1,0,90
"17",1495999058,17,1,1,1,1,1,1,0,1,1,1,0,50
"18",1495999058,18,1,1,1,1,1,1,0,0,0,0,0,50
"19",1495999058,19,1,3,4,1,4,3,0,1,1,1,0,90
"20",1495999058,20,1,1,1,1,1,1,0,0,0,0,NA,50
"21",1632410309,1,1,4,4,0,4,4,0,1,1,1,1,90
"22",1632410309,2,1,1,2,1,2,1,0,0,0,0,1,50
"23",1632410309,3,1,1,-2,0,1,-2,1,1,1,0,0,50
"24",1632410309,4,1,4,5,0,4,5,0,1,1,1,0,90
"25",1632410309,5,1,1,-3,0,1,-3,1,1,1,0,0,50
"26",1632410309,6,1,1,-3,0,1,-3,1,0,0,1,1,50
"27",1632410309,7,1,1,2,1,2,1,0,1,1,1,0,50
"28",1632410309,8,1,1,1,1,1,1,0,1,1,1,0,50
"29",1632410309,9,1,1,1,1,1,1,0,0,0,0,1,50
"30",1632410309,10,1,1,-3,0,1,-3,1,1,1,0,0,50
"31",1632410309,11,1,1,-3,0,1,-3,1,0,0,1,1,50
"32",1632410309,12,1,4,3,1,3,4,0,1,1,1,0,90
"33",1632410309,13,1,1,2,1,2,1,0,1,1,1,0,50
"34",1632410309,14,1,1,2,1,2,1,0,0,0,0,1,50
"35",1632410309,15,1,1,-4,0,1,-4,1,0,0,1,1,50
"36",1632410309,16,1,1,1,1,1,1,0,0,0,0,0,50
"37",1632410309,17,1,4,4,1,4,4,0,1,1,1,0,90
"38",1632410309,18,1,1,1,1,1,1,0,0,0,0,1,50
"39",1632410309,19,1,1,-4,0,1,-4,1,1,1,0,0,50
"40",1632410309,20,1,1,-2,0,1,-2,1,1,1,0,NA,50
"41",269809811,1,1,1,-4,0,1,-4,1,0,0,1,0,50
"42",269809811,2,1,2,-2,0,2,-2,1,1,1,0,0,50
"43",269809811,3,1,1,-3,0,1,-3,1,1,1,0,0,50
"44",269809811,4,1,1,-4,0,1,-4,1,1,1,0,0,50
"45",269809811,5,1,1,-3,0,1,-3,1,0,0,1,0,50
"46",269809811,6,1,4,3,0,4,3,0,1,1,1,0,90
"47",269809811,7,1,1,-3,0,1,-3,1,1,1,0,0,50
"48",269809811,8,1,1,-2,0,1,-2,1,0,0,1,0,50
"49",269809811,9,1,4,4,0,4,4,0,0,0,0,0,90
"50",269809811,10,1,1,-3,0,1,-3,1,1,1,0,0,50
"51",269809811,11,1,1,-2,0,1,-2,1,0,0,1,0,50
"52",269809811,12,1,2,-3,0,2,-3,1,1,1,0,0,50
"53",269809811,13,1,3,4,0,3,4,0,1,1,1,0,90
"54",269809811,14,1,2,-3,0,2,-3,1,1,1,0,0,50
"55",269809811,15,1,1,-2,0,1,-2,1,1,1,0,0,50
"56",269809811,16,1,1,-2,0,1,-2,1,1,1,0,0,50
"57",269809811,17,1,1,-3,0,1,-3,1,1,1,0,0,50
"58",269809811,18,1,1,-4,0,1,-4,1,1,1,0,0,50
"59",269809811,19,1,1,-2,0,1,-2,1,1,1,0,0,50
"60",269809811,20,1,4,3,0,4,3,0,0,0,0,NA,90
"61",2831429758,1,1,1,-2,0,1,-2,1,1,1,0,0,50
"62",2831429758,2,1,1,-3,0,1,-3,1,0,0,1,1,50
"63",2831429758,3,1,2,1,1,1,2,0,1,1,1,1,50
"64",2831429758,4,1,5,5,0,5,5,0,1,1,1,1,90
"65",2831429758,5,1,1,1,1,1,1,0,1,1,1,1,50
"66",2831429758,6,1,1,-4,0,1,-4,1,1,1,0,0,50
"67",2831429758,7,1,3,5,0,3,5,0,1,1,1,0,90
"68",2831429758,8,1,2,-3,0,2,-3,1,0,0,1,1,50
"69",2831429758,9,1,4,4,1,4,4,0,1,1,1,0,90
"70",2831429758,10,1,1,1,1,1,1,0,0,0,0,1,50
"71",2831429758,11,1,2,-2,0,2,-2,1,0,0,1,1,50
"72",2831429758,12,1,1,1,1,1,1,0,1,1,1,0,50
"73",2831429758,13,1,5,5,1,5,5,0,1,1,1,1,90
"74",2831429758,14,1,1,-4,0,1,-4,1,0,0,1,1,50
"75",2831429758,15,1,1,2,1,2,1,0,1,1,1,0,50
"76",2831429758,16,1,1,2,1,2,1,0,0,0,0,0,50
"77",2831429758,17,1,1,1,1,1,1,0,1,1,1,1,50
"78",2831429758,18,1,2,-4,0,2,-4,1,0,0,1,1,50
"79",2831429758,19,1,1,1,1,1,1,0,0,0,0,0,50
"80",2831429758,20,1,1,1,1,1,1,0,0,0,0,NA,50
"81",2980169460,1,1,1,1,1,1,1,0,0,0,0,1,50
"82",2980169460,2,1,1,-3,0,1,-3,1,1,1,0,0,50
"83",2980169460,3,1,1,-2,0,1,-2,1,0,0,1,1,50
"84",2980169460,4,1,2,2,1,2,2,0,0,0,0,0,50
"85",2980169460,5,1,5,5,1,5,5,0,1,1,1,1,90
"86",2980169460,6,1,1,-2,0,1,-2,1,0,0,1,0,50
"87",2980169460,7,1,1,-3,0,1,-3,1,1,1,0,0,50
"88",2980169460,8,1,1,-3,0,1,-3,1,1,1,0,0,50
"89",2980169460,9,1,1,-3,0,1,-3,1,0,0,1,1,50
