,id,trial,treatment,conf.HA,conf.SA,sel.adv,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,dominant.balls
106,6,6,Individuals,1,-2,0,1,-2,1,0,0,1,0,50
107,6,7,Individuals,4,5,0,4,5,0,1,1,1,1,90
108,6,8,Individuals,1,1,1,1,1,0,1,1,1,1,50
109,6,9,Individuals,1,-4,0,1,-4,1,1,1,0,0,50
110,6,10,Individuals,4,5,0,4,5,0,1,1,1,1,90
111,6,11,Individuals,1,1,1,1,1,0,0,0,0,0,50
112,6,12,Individuals,1,1,1,1,1,0,1,1,1,0,50
113,6,13,Individuals,1,1,1,1,1,0,0,0,0,1,50
114,6,14,Individuals,1,-4,0,1,-4,1,1,1,0,0,50
115,6,15,Individuals,2,-2,0,2,-2,1,1,1,0,1,50
116,6,16,Individuals,4,3,1,3,4,0,1,1,1,0,90
117,6,17,Individuals,5,5,1,5,5,0,1,1,1,1,90
118,6,18,Individuals,2,-4,0,2,-4,1,0,0,1,0,50
119,6,19,Individuals,1,-3,0,1,-3,1,1,1,0,1,50
120,6,20,Individuals,1,2,1,2,1,0,0,0,0,NA,50
121,7,1,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
122,7,2,Individuals,4,4,0,4,4,0,0,0,0,0,90
123,7,3,Individuals,5,4,0,5,4,0,1,1,1,0,90
124,7,4,Individuals,3,4,0,3,4,0,1,1,1,0,90
125,7,5,Individuals,5,4,0,5,4,0,1,1,1,0,90
126,7,6,Individuals,2,-4,0,2,-4,1,0,0,1,0,50
127,7,7,Individuals,2,-4,0,2,-4,1,1,1,0,0,50
128,7,8,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
129,7,9,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
130,7,10,Individuals,1,-3,0,1,-3,1,0,0,1,1,50
131,7,11,Individuals,2,1,1,1,2,0,0,0,0,0,50
132,7,12,Individuals,1,2,1,2,1,0,0,0,0,0,50
133,7,13,Individuals,1,1,1,1,1,0,0,0,0,0,50
134,7,14,Individuals,1,1,1,1,1,0,1,1,1,0,50
135,7,15,Individuals,1,1,1,1,1,0,1,1,1,0,50
136,7,16,Individuals,1,1,1,1,1,0,1,1,1,0,50
137,7,17,Individuals,1,1,1,1,1,0,1,1,1,0,50
138,7,18,Individuals,4,5,1,5,4,0,1,1,1,0,90
139,7,19,Individuals,2,1,1,1,2,0,1,1,1,0,50
140,7,20,Individuals,1,1,1,1,1,0,1,1,1,NA,50
141,8,1,Individuals,1,1,1,1,1,0,1,1,1,0,50
142,8,2,Individuals,1,1,1,1,1,0,0,0,0,0,50
143,8,3,Individuals,1,1,1,1,1,0,1,1,1,0,50
144,8,4,Individuals,2,1,1,1,2,0,1,1,1,0,50
145,8,5,Individuals,1,1,1,1,1,0,1,1,1,0,50
146,8,6,Individuals,1,2,1,2,1,0,0,0,0,1,50
147,8,7,Individuals,2,-3,0,2,-3,1,0,0,1,0,50
148,8,8,Individuals,5,5,0,5,5,0,1,1,1,0,90
149,8,9,Individuals,1,-3,0,1,-3,1,0,0,1,1,50
150,8,10,Individuals,4,5,1,5,4,0,1,1,1,0,90
151,8,11,Individuals,4,4,1,4,4,0,1,1,1,0,90
152,8,12,Individuals,1,2,1,2,1,0,0,0,0,0,50
153,8,13,Individuals,1,2,1,2,1,0,1,1,1,0,50
154,8,14,Individuals,1,1,1,1,1,0,1,1,1,0,50
155,8,15,Individuals,2,1,1,1,2,0,0,0,0,0,50
156,8,16,Individuals,1,1,1,1,1,0,0,0,0,0,50
157,8,17,Individuals,4,5,1,5,4,0,1,1,1,0,90
158,8,18,Individuals,1,1,1,1,1,0,1,1,1,0,50
159,8,19,Individuals,1,2,1,2,1,0,1,1,1,0,50
160,8,20,Individuals,4,4,1,4,4,0,1,1,1,NA,90
161,9,1,Individuals,1,-3,0,1,-3,1,1,1,0,1,50
162,9,2,Individuals,1,1,1,1,1,0,1,1,1,1,50
163,9,3,Individuals,1,-2,0,1,-2,1,0,0,1,0,50
164,9,4,Individuals,4,4,0,4,4,0,1,1,1,1,90
165,9,5,Individuals,5,3,1,3,5,0,0,0,0,0,90
166,9,6,Individuals,1,1,1,1,1,0,1,1,1,1,50
167,9,7,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
168,9,8,Individuals,5,5,0,5,5,0,1,1,1,1,90
169,9,9,Individuals,1,1,1,1,1,0,0,0,0,1,50
170,9,10,Individuals,5,5,0,5,5,0,0,0,0,1,90
171,9,11,Individuals,2,2,1,2,2,0,1,1,1,0,50
172,9,12,Individuals,1,1,1,1,1,0,1,1,1,0,50
173,9,13,Individuals,1,1,1,1,1,0,1,1,1,0,50
174,9,14,Individuals,1,2,1,2,1,0,0,0,0,1,50
175,9,15,Individuals,1,-2,0,1,-2,1,0,0,1,1,50
176,9,16,Individuals,5,5,1,5,5,0,1,1,1,0,90
177,9,17,Individuals,1,1,1,1,1,0,1,1,1,0,50
178,9,18,Individuals,1,1,1,1,1,0,1,1,1,0,50
179,9,19,Individuals,1,2,1,2,1,0,0,0,0,1,50
180,9,20,Individuals,1,-3,0,1,-3,1,0,0,1,NA,50
181,10,1,Individuals,5,4,1,4,5,0,1,1,1,0,90
182,10,2,Individuals,1,1,1,1,1,0,1,1,1,0,50
183,10,3,Individuals,1,1,1,1,1,0,1,1,1,0,50
184,10,4,Individuals,2,2,1,2,2,0,1,1,1,0,50
185,10,5,Individuals,2,1,1,1,2,0,1,1,1,0,50
186,10,6,Individuals,1,2,1,2,1,0,0,0,0,0,50
187,10,7,Individuals,1,1,1,1,1,0,1,1,1,0,50
188,10,8,Individuals,4,4,1,4,4,0,1,1,1,0,90
189,10,9,Individuals,4,5,1,5,4,0,1,1,1,0,90
190,10,10,Individuals,2,1,1,1,2,0,0,0,0,0,50
191,10,11,Individuals,1,1,1,1,1,0,0,0,0,0,50
